"time" "V" "Vadj" "D" "rho" "H" "I" "normPW"
"2009-03-22 18:30:00" 9.1 9.1604555565056 277.6776011 1.26817396902402 82.07905412 0.0879120879120879 49.6566666666667
"2009-03-13 06:30:00" 6.4 6.44545017102926 294.6235513 1.26990618760105 84.56935525 0.078125 17.21
"2009-03-02 13:40:00" 7.6 7.65456576379599 274.8353629 1.27020171400808 90.53306818 0.0789473684210526 28.8333333333333
"2009-03-22 14:40:00" 9.5 9.59025851393821 284.0314959 1.27900405656743 89.20420766 0.0736842105263158 54.7333333333333
"2009-03-22 11:10:00" 9.2 9.28847198468656 294.8798144 1.27944358169911 85.61911702 0.0760869565217391 49.4266666666667
"2009-01-14 11:10:00" 7.7 7.74995551931562 285.4287555 1.26758546190865 91.97936654 0.0779220779220779 27.44
"2009-02-16 11:00:00" 7.3 7.36064843356677 274.8987946 1.2744753502415 92.74645329 0.0821917808219178 25.7066666666667
"2009-01-14 12:30:00" 6.7 6.74323168080212 293.7926479 1.26745232083335 91.21942043 0.0746268656716418 17.86
"2009-03-11 13:50:00" 5.9 5.9551402275171 253.335493 1.27841464677886 90.33926368 0.0847457627118644 13.8966666666667
"2009-03-30 15:40:00" 6.5 6.55053825213039 224.526268 1.27245574449191 88.38038921 0.0923076923076923 18.5666666666667
"2009-03-02 17:50:00" 7.8 7.85952342703613 231.2798385 1.27191071428911 92.04026461 0.0769230769230769 29.1866666666667
"2009-03-11 19:50:00" 7.4 7.46395658387201 224.115162 1.27574522031079 93.06661606 0.0810810810810811 27.9833333333333
"2009-03-11 21:40:00" 7.8 7.86496375033543 225.4339965 1.27455377390198 94.74520207 0.0769230769230769 31.64
"2009-03-02 19:00:00" 8.6 8.66496904031166 222.9573158 1.27162040351378 91.7925024 0.0813953488372093 42.4966666666667
"2009-03-11 21:50:00" 7.8 7.86487124001648 224.540465 1.27450879925505 94.5724225 0.0769230769230769 32.9333333333333
"2009-03-02 18:40:00" 7.7 7.75944274369504 221.1352915 1.27224636427934 91.96607709 0.0909090909090909 30.9133333333333
"2009-03-11 21:00:00" 7.2 7.25944128335077 224.3677891 1.27427715368328 94.46093917 0.0833333333333333 26.4666666666667
"2009-01-14 19:50:00" 8.5 8.5742489473019 206.0589535 1.27609581577884 94.7674191 0.0823529411764706 38.7433333333333
"2009-05-03 15:40:00" 11.7 11.7670554763515 298.2974037 1.2647293963327 74.87971008 0.128205128205128 76.92
"2009-12-10 15:30:00" 12.8 12.8543523071329 321.0686296 1.25913554068485 80.32270551 0.1484375 94.6866666666667
"2009-03-06 11:20:00" 9.9 9.93704117219133 330.7699849 1.25723794282626 76.68247223 0.171717171717172 58.67
"2009-12-10 11:00:00" 15.3 15.35398662882 295.7509151 1.25643775212114 80.81227779 0.117647058823529 99.8233333333333
"2009-05-03 14:10:00" 12.1 12.1643376923083 299.3480378 1.26316792272402 79.43997383 0.107438016528926 83.1666666666667
"2009-02-10 19:30:00" 12.7 12.7739322757619 330.5544191 1.26506971894066 78.06350589 0.118110236220472 91.76
"2009-02-10 21:20:00" 14.3 14.3854086452873 334.350122 1.26564029458822 78.20493817 0.118881118881119 99.04
"2009-03-29 03:50:00" 12.2 12.2478976171626 349.8650093 1.25793136371228 73.73374224 0.139344262295082 86.5933333333333
"2009-06-04 07:50:00" 11.7 11.7340955791026 332.11182 1.25413149491468 71.36483908 0.128205128205128 79.3666666666667
"2009-03-06 13:20:00" 7.7 7.72657772278004 324.6358834 1.2561489876222 73.03310812 0.155844155844156 31.64
"2009-05-03 18:20:00" 10.7 10.7622205664271 305.4486797 1.26504544646891 71.97759628 0.11214953271028 64.5433333333333
"2009-03-29 05:00:00" 11 11.0481103392682 340.4743169 1.25961478269948 77.07385063 0.118181818181818 76.0566666666667
"2009-05-03 15:20:00" 11.4 11.4661641775152 298.3423856 1.26500344754521 76.135571 0.105263157894737 73.1733333333333
"2009-05-03 19:00:00" 9.4 9.45533590864126 315.3619216 1.26531635323503 71.9194746 0.117021276595745 48.8766666666667
